group,keyword
"IT","Angular"
"IT","ASP.NET Core"
"IT","ASP.NET Core"
"IT","Caffe"
"IT","CodeIgniter"
"IT","Cordova"
"IT","Django"
"IT","Django"
"IT","Ember.js"
"IT","Express.js"
"IT","Express.js"
"IT","FastAI"
"IT","FastAPI"
"IT","Flask"
"IT","Flask"
"IT","Flutter"
"IT","Gatsby"
"IT","Ionic"
"IT","Jetpack Compose"
"IT","Keras"
"IT","Laravel"
"IT","LightGBM"
"IT","Meteor"
"IT","NestJS"
"IT","Next.js"
"IT","Node.js"
"IT","Nuxt.js"
"IT","Phoenix"
"IT","PyTorch"
"IT","React"
"IT","React Native"
"IT","Ruby on Rails"
"IT","Scikit-learn"
"IT","Spark"
"IT","Spring Boot"
"IT","Strapi"
"IT","SwiftUI"
"IT","Symfony"
"IT","Symfony"
"IT","TensorFlow"
"IT","Theano"
"IT","Vue.js"
"IT","Xamarin"
"IT","XGBoost"
"IT","Amazon Web Services"
"IT","Android Studio"
"IT","AWS"
"IT","CircleCI"
"IT","Eclipse"
"IT","GCP"
"IT","Git",
"IT","BitBucket"
"IT","GitLab CI/CD"
"IT","Google Cloud Platform"
"IT","Heroku"
"IT","IntelliJ IDEA"
"IT","Jenkins"
"IT","Jest"
"IT","JUnit"
"IT","Mercurial"
"IT","Microsoft Azure"
"IT","NetBeans"
"IT","PyTest"
"IT","Selenium"
"IT","Subversion"
"IT","Travis CI"
"IT","Visual Studio Code"
"IT","VS Code"
"IT","Xcode"
"IT","android"
"IT","debian"
"IT","ios"
"IT","linux"
"IT","mac"
"IT","redhat"
"IT","RHEL"
"IT","solaris"
"IT","ubuntu"
"IT","windows"
